Prod,Gr.pressure,patch.size,inter-patch.dist,Nb.patches,Totalcover
Low,0.5511,17.5,31.5,204,0.356
Low,0.391,20.4,24.4,222,0.452
Low,0.1612,15.8,25.6,240,0.379
Low,0.2014,20.1,21.8,238,0.477
Low,0.237,20.3,22.8,230,0.47
Low,0.1897,16.5,32.3,204,0.337
Low,0.391,18.7,26.7,222,0.414
Low,0,27.6,23.5,194,0.536
Low,0,21.4,24.8,216,0.461
Low,0,30.7,22.2,188,0.576
Low,0,18.4,28.7,212,0.39
Low,0,23,18.1,247,0.567
Low,0.2106,20,23.4,233,0.461
Low,0,26.6,25.5,193,0.51
Low,0.2223,14.5,33.8,207,0.294
Low,0.5334,16.5,31.3,207,0.338
Low,0.1778,23.3,22.7,220,0.507
Low,0.237,27,23.3,200,0.536
Low,0.2133,20.6,25.2,220,0.45
Medium,0.5476,31.1,29.5,164,0.512
Medium,0.5037,36,31.5,146,0.53
Medium,0.4819,40.4,27.3,146,0.594
Medium,0.5037,41.2,31.2,136,0.577
Medium,0.1169,34.4,26.8,162,0.563
Medium,0.1606,31.1,26.6,176,0.545
Medium,0.1241,54.8,25.2,126,0.683
Medium,0.0949,50.4,24.7,134,0.673
Medium,0,37.3,23,164,0.617
Medium,0,40.9,21.3,162,0.662
Medium,0,39.5,27.7,148,0.591
Medium,0,38.9,21.8,166,0.642
Medium,0.2555,25.2,30,180,0.447
Medium,0.3066,25.5,25.7,193,0.49
High,0.5152,26.9,42.8,142,0.383
High,0.5263,33.4,48.7,122,0.403
High,0.5263,31.4,40.4,138,0.434
High,0.3476,30.1,31.6,164,0.488
High,0.3342,34,35.1,144,0.492
High,0.3042,29.8,27.4,176,0.522
High,0.1697,36.9,29.5,150,0.553
High,0.3419,37.8,28.1,152,0.571
High,0.2626,38,24.1,160,0.61
High,0.1777,40,22.5,160,0.639
High,0.1891,43.5,21,156,0.678
High,0,42,19.8,162,0.679
High,0,56.3,23.2,127,0.709
High,0.3035,18.3,21.4,240,0.452
High,0.253,25,20.6,213,0.53
High,0.1794,32.6,30.9,153,0.51
High,0,45.4,16.8,160,0.722
High,0.3178,36.3,27.5,160,0.569
High,0.2369,27.5,25.9,187,0.507
High,0.1827,35.2,25.6,167,0.579
